Pre-Intervention Survey Data (as of January 2023),,,,,,,,,,,,,,,
"How familiar are you with AI or ML concepts? (Likert scale, 1-5)",3,4,2,4,4,4,3,1,1,1,4,1,1,2,2
"How would you rate your technical data science or coding experience? (Likert scale, 1-5)",3,4,1,4,4,4,3,1,1,1,5,1,2,3,2
,,,,,,,,,,,,,,,
Post-Intervention Survey Data (as of January 2023),,,,,,,,,,,,,,,
"After completing this elective, how familiar are you with AI or ML concepts? (Likert scale, 1-5)",3,5,4,4,4,3,4,5,4,5,4,4,4,,
"After completing this elective, how would you rate your technical data science or coding experience? (Likert scale, 1-5)",1,3,3,1,2,1,1,5,1,3,1,1,1,,
